#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	98.18543
k__Bacteria|p__Proteobacteria	0.9435
k__Bacteria|p__Actinobacteria	0.51559
k__Bacteria|p__Fusobacteria	0.34471
k__Bacteria|p__Bacteroidetes	0.01076
k__Bacteria|p__Firmicutes|c__Clostridia	56.31926
k__Bacteria|p__Firmicutes|c__Negativicutes	20.38374
k__Bacteria|p__Firmicutes|c__Bacilli	11.72788
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	9.75456
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.9435
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.51559
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.34471
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.01076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	56.31926
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	20.38374
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	11.72788
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	9.75456
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.9435
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.51559
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.34471
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.01076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	50.457
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	20.38374
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	10.75936
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	9.75456
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.85552
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.85162
