# Pathway	SRR579280_Abundance
UNMAPPED	29681.6146451435
UNINTEGRATED	28121.9224546248
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	6546.2496832880
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	4459.4383274986
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	3068.4089879431
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	2229.3932484646
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	1864.7870118718
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	1851.2571292283
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	1821.1259538873
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	1545.1628142509
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	1207.1976656372
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	1186.8009455479
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	1144.9474975230
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	1021.5019098000
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	998.1606779142
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	928.0327985861
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	790.9687333456
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	753.5312398102
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	712.0184857762
UNINTEGRATED|unclassified	588.9106627209
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	585.1944548809
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	512.1489334463
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	44.4757264862
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Eubacterium.s__Eubacterium_rectale	12.9050823101
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	9.8915568192
PWY-7219: adenosine ribonucleotides de novo biosynthesis	40.5126610382
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	14.7800218903
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	8.6434754570
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	2.5761420343
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	2.5548773761
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_comes	1.5510467122
