# Pathway	SRR579290_Abundance
UNMAPPED	37427.9801455700
UNINTEGRATED	90363.5799848187
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	25136.7040502442
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	24130.6097863840
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	20737.1728656767
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	6101.7696377783
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	5339.1412075720
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	4366.3409932910
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	2950.1944031260
UNINTEGRATED|g__Dialister.s__Dialister_invisus	1234.7216897214
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	180.6234268670
UNINTEGRATED|unclassified	152.8901275430
PWY-7219: adenosine ribonucleotides de novo biosynthesis	88.5257573450
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	21.3678200318
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	21.1832707985
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	19.8410904668
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	11.2461714365
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	6.6080840273
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	4.9408397939
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_putredinis	2.6177325785
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	2.5251945118
PWY-6700: queuosine biosynthesis	66.7671441005
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	15.7723305032
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	15.3160713029
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	13.7459673275
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	4.3168076309
PWY-6700: queuosine biosynthesis|g__Dialister.s__Dialister_invisus	1.4886913681
PWY-5667: CDP-diacylglycerol biosynthesis I	57.2542859414
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	17.1027548596
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	15.8654377690
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.4371682396
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	3.0894240307
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	2.0436802144
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Dialister.s__Dialister_invisus	1.7760953357
PWY0-1319: CDP-diacylglycerol biosynthesis II	57.2542859414
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	17.1027548596
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	15.8654377690
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.4371682396
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	3.0894240307
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Parabacteroides.s__Parabacteroides_merdae	2.0436802144
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Dialister.s__Dialister_invisus	1.7760953357
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	54.8332478666
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_vulgatus	16.0941105453
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_uniformis	13.0779536039
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_ovatus	10.1360185730
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Dialister.s__Dialister_invisus	3.3503553127
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	2.8341670712
PWY-3841: folate transformations II	54.4014075962
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis	15.1843476589
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_ovatus	14.5708158496
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_vulgatus	11.1147051078
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_merdae	2.6687973454
