# Pathway	SRR579278_Abundance
UNMAPPED	52184.8834480710
UNINTEGRATED	33550.7414449311
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3897.9410900073
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	3865.8192241051
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	3154.9387076379
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	2657.5193846011
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	2098.7707489295
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	1766.6912618658
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	1522.3351260284
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	1270.7030646406
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	1177.3432287912
UNINTEGRATED|unclassified	1088.8639122193
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	1013.6873233953
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	929.0927721194
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	909.9378150925
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	907.7531034143
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	840.0960103692
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	679.7390806756
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	549.2009733367
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprophilus	525.9202411809
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	409.9971683074
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	402.9308635054
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	304.5988640985
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	297.8368688211
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	250.0874600627
PWY-7219: adenosine ribonucleotides de novo biosynthesis	56.5872107624
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	20.0399471849
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.9341373112
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	3.8474505976
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	3.6963637976
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bromii	3.6593475993
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	3.2566601558
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	1.9514872562
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	1.5713670095
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	1.2961294540
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_dorei	1.2120381836
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_coprophilus	1.1449560318
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	1.1408424186
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_putredinis	0.8863708170
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.7783534385
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	0.7654942142
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	0.1995487279
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	51.9729619603
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	12.8070129255
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.4194414778
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Akkermansia.s__Akkermansia_muciniphila	2.8134129161
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Ruminococcus_obeum	1.2411899295
PWY-7111: pyruvate fermentation to isobutanol (engineered)	51.9729619603
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	9.9436282180
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Ruminococcus.s__Ruminococcus_bromii	9.4884261960
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.1754777013
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_rectale	4.5479490066
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Akkermansia.s__Akkermansia_muciniphila	2.8134129161
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_stercoris	2.5792833034
