# Pathway	SRR579281_Abundance
UNMAPPED	95847.4450856776
UNINTEGRATED	141136.5550801428
UNINTEGRATED|g__Clostridium.s__Clostridium_bolteae	79144.7476406119
UNINTEGRATED|g__Clostridium.s__Clostridium_clostridioforme	18777.6800701836
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	13544.2519438313
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Clostridium_ramosum	8561.3499317878
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	8038.2749625938
UNINTEGRATED|g__Clostridium.s__Clostridium_nexile	7083.6015351949
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	6511.8362356635
UNINTEGRATED|g__Clostridium.s__Clostridium_hathewayi	4243.5278775585
UNINTEGRATED|unclassified	3614.1538825785
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	2726.2325399830
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	2654.8191157119
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	2222.4564714841
UNINTEGRATED|g__Blautia.s__Blautia_producta	749.2990849124
UNINTEGRATED|g__Dialister.s__Dialister_invisus	569.1255138917
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	553.8562071969
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	524.5121919049
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	503.9091563421
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_dentium	438.9359452247
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum	406.8207004253
UNINTEGRATED|g__Enterococcus.s__Enterococcus_avium	371.2973754285
PWY0-1296: purine ribonucleosides degradation	191.4530029748
PWY0-1296: purine ribonucleosides degradation|unclassified	61.6315115658
PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_bolteae	45.8862715363
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_salivarius	13.2987871694
PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_clostridioforme	12.3689636810
PWY0-1296: purine ribonucleosides degradation|g__Erysipelotrichaceae_noname.s__Clostridium_ramosum	9.7990653192
PWY0-1296: purine ribonucleosides degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.5618767569
PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_nexile	3.3553197314
PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_hathewayi	2.4150365275
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_parasanguinis	2.1295682159
PWY-7219: adenosine ribonucleotides de novo biosynthesis	177.5323813010
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	71.0959247223
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_bolteae	37.5019164498
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Veillonella.s__Veillonella_parvula	23.5224160432
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_clostridioforme	7.2985323934
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	6.8379375095
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_nexile	5.8037560893
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	5.7529558630
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.6034315201
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	2.0834596217
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_vestibularis	2.0755327521
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_thermophilus	1.1794614272
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Fusobacterium.s__Fusobacterium_nucleatum	1.1663861196
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Enterococcus.s__Enterococcus_faecium	1.1571115269
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	1.0475535469
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_producta	0.8090290493
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	166.4191793907
