# Pathway	SRR579274_Abundance
UNMAPPED	21481.3521335576
UNINTEGRATED	16555.1552042729
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	3980.0929566726
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3517.4864849413
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	1639.1794944329
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	822.2117573530
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	795.0444124751
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	782.9973338009
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	285.2771868978
UNINTEGRATED|unclassified	189.6076632375
PWY-6737: starch degradation V	19.1912616770
PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_rectale	5.9259890830
PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.0990176976
PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_hallii	1.1210701052
PWY-7219: adenosine ribonucleotides de novo biosynthesis	17.9331659357
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.2656117573
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	4.9196652974
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	2.3549457636
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	16.9476650575
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.0503560122
PWY-7111: pyruvate fermentation to isobutanol (engineered)	16.9476650575
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_rectale	5.1886459211
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	4.9319850095
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.3512001632
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Blautia.s__Ruminococcus_torques	1.7201024689
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Dorea.s__Dorea_longicatena	0.7823004881
VALSYN-PWY: L-valine biosynthesis	16.9476650575
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_rectale	5.1886459211
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.0503560122
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_longicatena	0.7004027316
PWY-5097: L-lysine biosynthesis VI	13.9424125801
PWY-5097: L-lysine biosynthesis VI|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.7476843285
PWY-5097: L-lysine biosynthesis VI|g__Blautia.s__Ruminococcus_torques	2.0681617343
PWY-5097: L-lysine biosynthesis VI|g__Eubacterium.s__Eubacterium_rectale	1.8082936778
PWY-6151: S-adenosyl-L-methionine cycle I	13.9222805033
PWY-6151: S-adenosyl-L-methionine cycle I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.6718241404
PWY-6151: S-adenosyl-L-methionine cycle I|g__Dorea.s__Dorea_longicatena	1.4670910825
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus	1.0469436891
PWY-621: sucrose degradation III (sucrose invertase)	13.5638242198
PWY-621: sucrose degradation III (sucrose invertase)|g__Eubacterium.s__Eubacterium_rectale	4.1901685715
PWY-621: sucrose degradation III (sucrose invertase)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.1559808901
PWY-621: sucrose degradation III (sucrose invertase)|g__Blautia.s__Ruminococcus_obeum	1.2366378063
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	13.1043978997
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	5.5003108976
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.2601340834
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	12.7861548071
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_rectale	5.6987389644
ARO-PWY: chorismate biosynthesis I	12.3322476266
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	4.2179511967
PWY-2942: L-lysine biosynthesis III	12.3121469342
PWY-2942: L-lysine biosynthesis III|g__Blautia.s__Ruminococcus_torques	2.4671322802
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	12.2041754988
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Eubacterium.s__Eubacterium_rectale	3.9683729428
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	12.1026531691
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Eubacterium.s__Eubacterium_rectale	4.3305911445
PWY0-1296: purine ribonucleosides degradation	11.6251137083
PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_rectale	2.9738362495
PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Ruminococcus_obeum	1.6805528876
PWY0-1296: purine ribonucleosides degradation|g__Blautia.s__Ruminococcus_torques	1.4712624630
PWY-1042: glycolysis IV (plant cytosol)	11.6215933131
PWY-1042: glycolysis IV (plant cytosol)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.0000362268
PWY-7221: guanosine ribonucleotides de novo biosynthesis	11.1007157908
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.5897373126
