# Pathway	SRR579291_Abundance
UNMAPPED	50715.5367881397
UNINTEGRATED	71445.9829032643
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	8425.4622191872
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	7960.3339635463
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	7453.1734460725
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	6165.0320276904
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	5863.8983889264
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	4010.2988613347
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	2631.9097754441
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	2556.9339192950
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	2358.6651547703
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	2176.8481765582
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	1837.6840525498
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	1758.7192765417
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	1575.5719799654
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	1571.8027282365
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	1475.0117851052
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	1399.9510554823
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	1372.5488373470
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	1335.8026376278
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	884.0499900763
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	512.4066998016
UNINTEGRATED|g__Blautia.s__Blautia_hydrogenotrophica	494.9517141166
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Clostridium_innocuum	473.6854158726
UNINTEGRATED|unclassified	412.5305241473
