# Pathway	SRR579292_Abundance
UNMAPPED	66072.9450540254
UNINTEGRATED	65842.9076452749
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	23931.2053646130
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	11243.8484429451
UNINTEGRATED|g__Clostridium.s__Clostridium_nexile	3332.9886438404
UNINTEGRATED|g__Clostridium.s__Clostridium_clostridioforme	2433.1291531449
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	2424.5464899214
UNINTEGRATED|g__Streptococcus.s__Streptococcus_lutetiensis	2102.3275927431
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A	1762.9835171429
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	1419.7149853142
UNINTEGRATED|unclassified	1069.4851555541
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	914.8736688200
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	791.9888366113
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	665.3334532920
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	657.8021024801
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	650.9281887490
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	497.2197646257
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	426.1347487729
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	293.1365880796
UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantarius	259.9472753285
PWY-7219: adenosine ribonucleotides de novo biosynthesis	74.3729173603
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	26.0459243268
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	21.0976790907
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_lutetiensis	6.0603599917
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	5.5428017161
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	3.8565869873
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A	3.1893276437
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_nexile	2.7812555621
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bifidobacterium.s__Bifidobacterium_longum	1.2169065199
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	1.2100618602
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.2056439128
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0.9515763283
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_infantarius	0.7622125319
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.7186895672
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	65.7336733913
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Akkermansia.s__Akkermansia_muciniphila	17.7648300055
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	11.7187365893
PWY-7111: pyruvate fermentation to isobutanol (engineered)	65.7336733913
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Akkermansia.s__Akkermansia_muciniphila	15.9677674832
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	15.3989663672
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	9.1348661066
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Clostridium.s__Clostridium_nexile	1.8601774870
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_rectale	1.7852899668
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A	0.9743875533
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bifidobacterium.s__Bifidobacterium_longum	0.8680370777
VALSYN-PWY: L-valine biosynthesis	65.7336733913
VALSYN-PWY: L-valine biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	17.7648300055
VALSYN-PWY: L-valine biosynthesis|unclassified	15.3989663672
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	11.7187365893
VALSYN-PWY: L-valine biosynthesis|g__Clostridium.s__Clostridium_nexile	1.8601774870
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.7852899668
VALSYN-PWY: L-valine biosynthesis|g__Clostridium.s__Clostridium_leptum	1.7676399075
VALSYN-PWY: L-valine biosynthesis|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A	0.9743875533
VALSYN-PWY: L-valine biosynthesis|g__Bifidobacterium.s__Bifidobacterium_longum	0.8680370777
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_obeum	0.8354351379
PWY-7221: guanosine ribonucleotides de novo biosynthesis	57.0649063427
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	20.8504482638
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	16.8962723055
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	3.3577215278
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.4545744587
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_obeum	1.1120091828
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_clostridioforme	1.0922088133
PWY-1042: glycolysis IV (plant cytosol)	53.9697085747
PWY-1042: glycolysis IV (plant cytosol)|g__Akkermansia.s__Akkermansia_muciniphila	18.3657027767
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	7.8654059899
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	53.2461048551
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	17.8514331779
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	1.2889386638
PWY-5103: L-isoleucine biosynthesis III	52.3567404659
PWY-5103: L-isoleucine biosynthesis III|g__Akkermansia.s__Akkermansia_muciniphila	17.0857252745
PWY-5103: L-isoleucine biosynthesis III|g__Escherichia.s__Escherichia_coli	0.6878817866
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	49.8522518508
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Akkermansia.s__Akkermansia_muciniphila	18.1345401907
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Escherichia.s__Escherichia_coli	8.5155257201
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	7.9648083329
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_vulgatus	1.8656716418
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	47.0156389395
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Akkermansia.s__Akkermansia_muciniphila	21.4949682932
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	12.5234203864
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A	3.0969004857
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Clostridium.s__Clostridium_nexile	2.7696001577
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Escherichia.s__Escherichia_coli	2.5156816566
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_longum	1.6785225505
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Clostridium.s__Clostridium_clostridioforme	1.3144377713
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	47.0156389395
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	21.4949682932
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	12.5234203864
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A	3.0969004857
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_nexile	2.7696001577
